AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  76,  970, HU,  34, NEQ,  156,  143,  120,  135,   63,   21,   20, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  76,  970, HU,  50, NEQ,  111,   92,   47,  108,   63,   21,   20, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  76,  970, HU,  64, NEQ,   60,   39,    0,   21,   63,   21,   20, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  75,  970, HU,  34, NEQ,  192,  155,   75,  193,   62,   22,   20, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  75,  970, HU,  50, NEQ,  110,   91,   44,  107,   62,   22,   20, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  75,  970, HU,  64, NEQ,   41,   37,    0,    0,   62,   22,   20, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  72,  971, HU,  34, NEQ,  190,  151,   69,  188,   61,   22,   27, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  72,  971, HU,  50, NEQ,  105,   62,   36,   94,   61,   22,   27, , , , , , , , , ,
AL,  0, 2011082400,   , WRF ,   0, 210N,  719W,  72,  971, HU,  64, NEQ,   40,   29,    0,    0,   61,   22,   27, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  81,  971, HU,  34, NEQ,  159,  134,  117,  127,   64,   22,   21, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  81,  971, HU,  50, NEQ,  120,   98,   50,  119,   64,   22,   21, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  81,  971, HU,  64, NEQ,  104,   38,   28,   31,   64,   22,   21, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  77,  971, HU,  34, NEQ,  195,  169,   76,  189,   64,   21,   21, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  77,  971, HU,  50, NEQ,  110,   78,   47,   55,   64,   21,   21, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  77,  971, HU,  64, NEQ,   39,   37,   26,   30,   64,   21,   21, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  72,  971, HU,  34, NEQ,  191,  164,   64,  185,   62,   22,   22, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  72,  971, HU,  50, NEQ,   85,   69,   40,   51,   62,   22,   22, , , , , , , , , ,
AL,  0, 2011082401,   , WRF ,   0, 210N,  721W,  72,  971, HU,  64, NEQ,   23,   26,   21,   25,   62,   22,   22, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  95,  969, HU,  34, NEQ,  157,  148,  120,  136,   65,   22,   18, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  95,  969, HU,  50, NEQ,  112,  105,   51,  110,   65,   22,   18, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  95,  969, HU,  64, NEQ,   99,   44,   35,   31,   65,   22,   18, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  95,  969, HU,  83, NEQ,   16,   19,    0,    0,   65,   22,   18, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  79,  969, HU,  34, NEQ,  186,  170,  103,  181,   65,   22,   21, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  79,  969, HU,  50, NEQ,  107,  101,   43,   57,   65,   22,   21, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  79,  969, HU,  64, NEQ,   40,   42,   17,   29,   65,   22,   21, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  71,  970, HU,  34, NEQ,  183,  166,   70,  178,   64,   24,   21, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  71,  970, HU,  50, NEQ,   94,   68,   40,   47,   64,   24,   21, , , , , , , , , ,
AL,  0, 2011082402,   , WRF ,   0, 211N,  722W,  71,  970, HU,  64, NEQ,   30,   30,    0,   25,   64,   24,   21, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  97,  967, HU,  34, NEQ,  161,  143,  119,  137,   68,   22,   20, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  97,  967, HU,  50, NEQ,  117,  111,   51,  121,   68,   22,   20, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  97,  967, HU,  64, NEQ,   80,   60,   34,   41,   68,   22,   20, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  97,  967, HU,  83, NEQ,   23,   20,    0,    0,   68,   22,   20, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  97,  967, HU,  96, NEQ,    0,    0,    0,    0,   68,   22,   20, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  88,  968, HU,  34, NEQ,  189,  176,  101,  192,   67,   22,   22, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  88,  968, HU,  50, NEQ,  113,  105,   47,   94,   67,   22,   22, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  88,  968, HU,  64, NEQ,   35,   37,   31,   34,   67,   22,   22, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  88,  968, HU,  83, NEQ,   20,    0,    0,    0,   67,   22,   22, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  73,  968, HU,  34, NEQ,  185,  173,   73,  187,   65,   23,   22, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  73,  968, HU,  50, NEQ,   81,   72,   44,   52,   65,   23,   22, , , , , , , , , ,
AL,  0, 2011082403,   , WRF ,   0, 211N,  723W,  73,  968, HU,  64, NEQ,   32,   25,   21,   31,   65,   23,   22, , , , , , , , , ,
AL,  0, 2011082404,   , WRF ,   0, 211N,  724W,  88,  967, HU,  34, NEQ,  160,  155,  120,  137,   68,   22,   14, , , , , , , , , ,
AL,  0, 2011082404,   , WRF ,   0, 211N,  724W,  88,  967, HU,  50, NEQ,  121,  106,  112,  117,   68,   22,   14, , , , , , , , , ,
AL,  0, 2011082404,   , WRF ,   0, 211N,  724W,  88,  967, HU,  64, NEQ,   97,   68,   30,   40,   68,   22,   14, , , , , , , , , ,
AL,  0, 2011082404,   , WRF ,   0, 211N,  724W,  88,  967, HU,  83, NEQ,   25,   23,    0,    0,   68,   22,   14, , , , , , , , , ,
AL,  0, 2011082404,   , WRF ,   0, 211N,  724W,  84,  967, HU,  34, NEQ,  187,  172,  108,  196,   68,   22,   20, , , , , , , , , ,
